Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Avg_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City,Monthly
New York,1001 to 5000 Employees,21.0,Private,Consulting,$100 to $500 million (USD),Fractal,Data Scientist,1596545.0,1675000.0,4.0,72.0,19.0,9.0,48.0,20.0,15.0,Mumbai,No
India,1001 to 5000 Employees,42.0,Private,Real Estate,$10+ billion (USD),Housing.com,Data Scientist,2320161.0,2320161.0,4.2,54.0,25.0,21.0,31.0,31.0,15.0,Mumbai,No
Morocco,501 to 1000 Employees,8.0,Private,Consulting,$10+ billion (USD),Quantiphi,Data Scientist,965374.0,1017694.0,3.5,47.0,29.0,24.0,68.0,14.0,10.0,Mumbai,No
India,10000+ Employees,44.0,Public,Government Agencies,$10+ billion (USD),Reliance Industries,Data Scientist,1864862.0,1922877.0,3.8,77.0,8.0,15.0,60.0,14.0,9.0,Mumbai,No
India,5001 to 10000 Employees,11.0,Private,"Cable, Internet & Telephone Providers",$10+ billion (USD),Jio,Data Scientist,800000.0,800000.0,3.7,63.0,17.0,20.0,44.0,18.0,17.0,Mumbai,No
New York,10000+ Employees,171.0,Private,Banking/Finance,$10+ billion (USD),Deloitte,Data Scientist,1160332.0,1200706.0,3.9,71.0,11.0,18.0,37.0,36.0,11.0,Mumbai,No
India,10000+ Employees,24.0,Public,Information Technology,$10+ billion (USD),LTI,Data Scientist,46864.0,46864.0,3.6,69.0,16.0,15.0,60.0,15.0,9.0,Mumbai,No
India,1001 to 5000 Employees,16.0,Private,Information Technology,$100 to $500 million (USD),CitiusTech,Data Scientist,286311.0,286311.0,3.8,52.0,33.0,15.0,26.0,19.0,17.0,Mumbai,No
India,51 to 200 Employees,5.0,Private,Banking/Finance,$25 to $50 million (USD),CASHe,Data Scientist,1084136.0,1084136.0,3.2,100.0,25.77729257641921,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Mumbai,No
India,10000+ Employees,40.0,Public,Information Technology,$10+ billion (USD),Infosys,Data Scientist,1123188.5,1099358.0,3.8,77.0,9.0,15.0,55.0,21.0,12.0,Mumbai,No
Ireland,10000+ Employees,32.0,Public,Consulting,$10+ billion (USD),Accenture,Data Scientist,1365997.0,1297507.0,4.0,70.0,13.0,17.0,37.0,29.0,12.0,Mumbai,No
New York,10000+ Employees,23.0,Private,Banking/Finance,$5 to $10 billion (USD),PwC,Data Scientist,1391861.5,1411381.0,3.9,72.0,9.0,19.0,48.0,30.0,9.0,Mumbai,No
India,10000+ Employees,26.0,Public,Banking/Finance,$10+ billion (USD),HDFC Bank,Data Scientist,1788074.0,2533956.0,3.7,71.0,13.0,17.0,39.0,20.0,17.0,Mumbai,No
Michigan,10000+ Employees,41.0,Private,Information Technology,$1 to $2 billion (USD),Atos-Syntel,Data Scientist,949678.0,852508.0,3.5,67.0,14.0,19.0,36.0,32.0,12.0,Mumbai,No
India,10000+ Employees,65.0,Public,Manufacturing,$10+ billion (USD),Mahindra,Data Scientist,563153.0,995724.0,4.0,78.0,9.0,13.0,52.0,14.0,11.0,Mumbai,No
India,5001 to 10000 Employees,53.0,Private,Banking/Finance,$10+ billion (USD),RBL Bank,Data Scientist,1178660.5,1380385.0,3.7,56.0,25.0,19.0,29.0,21.0,21.0,Mumbai,No
India,10000+ Employees,65.0,Public,Healthcare Medicine,$10+ billion (USD),Piramal Enterprises,Data Scientist,784740.0,840000.0,3.6,76.0,8.0,16.0,33.0,19.0,16.0,Mumbai,No
Connecticut,10000+ Employees,10.0,Public,Transportation,$10+ billion (USD),XPO Logistics,Data Scientist,1804060.5,1539101.0,3.6,55.0,32.0,12.0,59.0,13.0,9.0,Mumbai,No
United Kingdom,10000+ Employees,173.0,Public,Banking/Finance,$10+ billion (USD),Prudential plc,Data Scientist,1013099.5,1078873.0,3.5,63.0,25.0,12.0,45.0,16.0,13.0,Mumbai,No
India,1 to 50 Employees,8.0,Private,Information Technology,Less than $1 million (USD),Arya.ai,Data Scientist,668962.0,1142503.68,3.8,100.0,67.0,33.0,42.9423676012461,21.65818759936407,13.633165829145726,Mumbai,No
New Joursey,10000+ Employees,27.0,Public,Consulting,$10+ billion (USD),Cognizant Technology Solutions,Data Scientist,1342399.0,1342399.0,3.7,73.0,13.0,14.0,43.0,23.0,10.0,Mumbai,No
India,10000+ Employees,35.0,Public,Information Technology,$2 to $5 billion (USD),Tech Mahindra,Data Scientist,864300.0,864300.0,3.6,64.0,18.0,19.0,38.0,23.0,11.0,Mumbai,No
New York,10000+ Employees,25.0,Private,Telecommunication/Television,$2 to $5 billion (USD),ABC,Data Scientist,1010472.5,1010472.5,4.0,68.0,8.0,23.0,62.0,11.0,9.0,Mumbai,No
California,10000+ Employees,23.0,Public,Information Technology,$10+ billion (USD),Google,Data Scientist,104406.0,104406.0,4.5,62.0,15.0,23.0,44.0,22.0,22.0,Mumbai,No
India,5001 to 10000 Employees,21.0,Public,Consulting,$100 to $500 million (USD),eClerx,Data Scientist,52821.5,52821.5,3.5,62.0,17.0,21.0,30.0,20.0,14.0,Mumbai,No
California,1001 to 5000 Employees,11.0,Private,Information Technology,$10+ billion (USD),Freshworks,Data Scientist,490902.0,490902.0,4.3,61.0,27.0,12.0,37.0,26.0,15.0,Mumbai,No
Netherlands,5001 to 10000 Employees,37.0,Private,Information Technology,$10+ billion (USD),HERE Technologies,Data Scientist,1791835.0,1791835.0,3.8,62.0,24.0,15.0,35.0,28.0,12.0,Mumbai,No
Denmark,10000+ Employees,93.0,Private,Transportation,$10+ billion (USD),MAERSK,Data Scientist,1687925.0,1687925.0,4.0,61.0,20.0,19.0,56.0,11.0,10.0,Mumbai,No
India,1001 to 5000 Employees,23.0,Private,Information Technology,$1 to $2 billion (USD),Directi,Data Scientist,1683379.5,1683379.5,4.1,70.0,16.0,14.0,49.0,23.0,11.0,Mumbai,No
India,10000+ Employees,27.0,Public,Banking/Finance,$1 to $2 billion (USD),L&T Financial Services,Data Scientist,939064.0,939064.0,3.3,69.0,10.0,21.0,47.0,18.0,18.0,Mumbai,No
India,1001 to 5000 Employees,44.0,Public,Banking/Finance,$10+ billion (USD),Hdfc,Data Scientist,65527.0,65527.0,3.7,64.0,8.0,28.0,54.0,13.0,11.0,Mumbai,No
India,10000+ Employees,65.0,Public,Healthcare Medicine,$10+ billion (USD),Piramal Enterprises,Data Scientist,784740.0,840000.0,3.6,76.0,8.0,16.0,33.0,19.0,16.0,Mumbai,No
California,201 to 500 Employees,15.0,Private,Healthcare Medicine,$10+ billion (USD),Episource,Data Scientist,58030.5,58030.5,3.8,69.0,21.0,10.0,43.0,15.0,13.0,Mumbai,No
India,51 to 200 Employees,7.0,Private,Information Technology,$5 to $10 million (USD),LogiNext Solutions,Data Scientist,454026.5,454026.5,3.6,63.0,30.0,7.0,59.0,15.0,11.0,Mumbai,No
India,201 to 500 Employees,3.0,Public,Information Technology,$10+ billion (USD),ZEE5,Data Scientist,1210821.0,1210821.0,3.1,56.0,22.0,22.0,38.0,25.0,25.0,Mumbai,No
India,1 to 50 Employees,9.0,Private,Information Technology,$100 to $500 million (USD),Bewakoof Brands,Data Scientist,714104.0,714104.0,3.8,44.0,44.0,13.0,56.0,13.0,13.0,Mumbai,No
India,1 to 50 Employees,1.0,Private,Information Technology,$25 to $50 million (USD),Karza Technologies,Data Scientist,1650159.0,1650159.0,4.3,38.0,58.0,4.0,48.0,13.0,13.0,Mumbai,No
India,51 to 200 Employees,6.0,Public,Information Technology,$50 to $100 million (USD),HDFC Developers,Data Scientist,1462999.0,1462999.0,2.8,33.0,67.0,33.0,33.0,33.0,13.633165829145726,Mumbai,No
India,51 to 200 Employees,6.0,Private,Information Technology,$25 to $50 million (USD),Locobuzz,Data Scientist,818791.5,818791.5,3.7,33.0,67.0,33.0,33.0,33.0,13.633165829145726,Mumbai,No
India,1 to 50 Employees,4.0,Private,Information Technology,$25 to $50 million (USD),Cuddle,Data Scientist,1907705.0,1907705.0,4.9,100.0,100.0,20.723146747352494,42.9423676012461,21.65818759936407,13.633165829145726,Mumbai,No
India,10000+ Employees,76.0,Public,Information Technology,$5 to $10 billion (USD),Wipro,Data Scientist,357822.5,357822.5,3.7,70.0,13.0,17.0,44.0,23.0,11.0,Mumbai,No
Washington,10000+ Employees,27.0,Public,Information Technology,$10+ billion (USD),Amazon,Data Scientist,748177.5,748177.5,4.3,59.0,19.0,23.0,54.0,15.0,12.0,Mumbai,No
India,10000+ Employees,110.0,Public,Information Technology,$10+ billion (USD),IBM,Data Scientist,1158487.5,1158487.5,3.9,69.0,12.0,19.0,43.0,22.0,14.0,Mumbai,No
United Kingdom,10000+ Employees,32.0,Private,Banking/Finance,$10+ billion (USD),EY,Data Scientist,1009560.5,1009560.5,3.8,73.0,9.0,18.0,36.0,36.0,13.0,Mumbai,No
India,10000+ Employees,27.0,Public,Banking/Finance,$10+ billion (USD),ICICI Bank,Data Scientist,676737.0,676737.0,3.6,70.0,9.0,21.0,39.0,28.0,8.0,Mumbai,No
India,10000+ Employees,24.0,Public,Information Technology,$10+ billion (USD),LTI,Data Scientist,599573.5,599573.5,3.6,69.0,16.0,15.0,60.0,15.0,9.0,Mumbai,No
