Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Additional_Pay,Avg_Pay,Avg_Pay_Num,Avg_Pay_Text,Max_Pay,Min_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City
"New York, NY",1001 to 5000 Employees,2000,Company - Private,Consulting,$100 to $500 million (USD),Fractal,Fractal Data Scientist Salaries in Mumbai Area,"₹ 15,96,545","₹ 1,75,981","₹ 16,75,000","₹15,96,545","The typical Fractal Data Scientist salary is ₹15,96,545","₹2,007K",₹817K,4,72%,19%,9%,48%,20%,15%,Mumbai
"Mumbai, India",1001 to 5000 Employees,null,Company - Private,Real Estate,Unknown / Non-Applicable,Housing.com,Housing.com Data Scientist Salaries in Mumbai Area,"₹ 23,20,161",NA,"₹ 23,20,161",,The typical Housing,"₹2,454K",₹206K,4.2,54%,25%,21%,31%,31%,15%,Mumbai
"Marlborough, MA",501 to 1000 Employees,2013,Company - Private,Consulting,Unknown / Non-Applicable,Quantiphi,Quantiphi Data Scientist Salaries in Mumbai Area,"₹ 9,65,374","₹ 54,968","₹ 10,17,694","₹9,65,374","The typical Quantiphi Data Scientist salary is ₹9,65,374","₹1,568K",₹770K,3.5,47%,29%,24%,68%,14%,10%,Mumbai
"Mumbai, India",10000+ Employees,1977,Company - Public (RIL),Energy,$10+ billion (USD),Reliance Industries,Reliance Industries Data Scientist Salaries in Mumbai Area,"₹ 18,64,862","₹ 2,14,881","₹ 19,22,877","₹18,64,862","The typical Reliance Industries Data Scientist salary is ₹18,64,862","₹2,585K",₹926K,3.8,77%,8%,15%,60%,14%,9%,Mumbai
"Mumbai, India",5001 to 10000 Employees,2010,Company - Private,"Cable, Internet & Telephone Providers",Unknown / Non-Applicable,Jio,Jio Data Scientist Salaries in Mumbai Area,"₹ 8,00,000","₹ 2,09,275","₹ 8,00,000","₹8,00,000","The typical Jio Data Scientist salary is ₹8,00,000","₹1,300K",₹507K,3.7,63%,17%,20%,44%,18%,17%,Mumbai
"New York, NY",10000+ Employees,1850,Company - Private,Accounting,$10+ billion (USD),Deloitte,Deloitte Data Scientist Salaries in Mumbai Area,"₹ 11,60,332","₹ 50,649","₹ 12,00,706","₹11,60,332","The typical Deloitte Data Scientist salary is ₹11,60,332","₹1,509K",₹822K,3.9,71%,11%,18%,37%,36%,11%,Mumbai
"Mumbai, India",10000+ Employees,1997,Company - Public,IT Services,Unknown / Non-Applicable,LTI,LTI Data Scientist Monthly Pay in Mumbai Area,"₹ 46,864",NA,"₹ 46,864","₹46,864","The typical LTI Data Scientist salary is ₹46,864",₹70K,₹20K,3.6,69%,16%,15%,60%,15%,9%,Mumbai
"Mumbai, India",1001 to 5000 Employees,2005,Company - Private,IT Services,$100 to $500 million (USD),CitiusTech,CitiusTech Data Scientist Salaries in Mumbai Area,"₹ 2,86,311",NA,"₹ 2,86,311","₹2,86,311","The typical CitiusTech Data Scientist salary is ₹2,86,311","₹1,831K",₹203K,3.8,52%,33%,15%,26%,19%,17%,Mumbai
"Mumbai, India",51 to 200 Employees,2016,Company - Private,Lending,Unknown / Non-Applicable,CASHe,CASHe Data Scientist Salaries in Mumbai Area,"₹ 10,84,136",NA,"₹ 10,84,136","₹10,84,136","The typical CASHe Data Scientist salary is ₹10,84,136","₹1,400K","₹1,068K",3.2,100%,,,,,,Mumbai
"Bangalore, India",10000+ Employees,1981,Company - Public (INFY),IT Services,$10+ billion (USD),Infosys,Infosys Data Scientist Salaries in Mumbai Area,"₹ 10,46,377 - ₹ 12,00,000",NA,NA,"₹10,99,358","The typical Infosys Data Scientist salary is ₹10,99,358",NA,NA,3.8,77%,9%,15%,55%,21%,12%,Mumbai
